step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
278,0.1877,0.94737,,,,
279,0.0,1.0,,,,
280,0.0,1.0,,,,
281,0.1947,0.93333,,,,
282,0.3731,0.89474,,,,
283,0.148,0.94737,,,,
284,1e-05,1.0,,,,
285,0.52988,0.90625,,,,
286,1e-05,1.0,,,,
287,0.01829,1.0,,,,
288,0.21381,0.925,,,,
289,0.0,1.0,,,,
290,0.28458,0.88372,,,,
291,0.0033,1.0,,,,
292,0.16855,0.96429,,,,
293,0.0,1.0,,,,
294,0.0,1.0,,,,
295,0.15625,0.96552,,,,
296,0.03438,1.0,,,,
297,0.03228,0.97674,,,,
298,1e-05,1.0,,,,
299,0.52183,0.96154,,,,
300,0.0,1.0,,,,
301,0.0,1.0,,,,
302,0.25586,0.9434,,,,
303,0.26838,0.875,,,,
304,0.0,1.0,,,,
305,0.05272,0.96296,,,,
306,0.0,1.0,,,,
307,0.0,1.0,,,,
308,0.0,1.0,,,,
309,0.12794,0.93182,,,,
310,0.09734,0.97368,,,,
311,0.03515,1.0,,,,
312,0.24461,0.95652,,,,
313,0.0,1.0,,,,
314,0.00209,1.0,,,,
315,0.0,1.0,,,,
316,0.71857,0.84615,,,,
317,0.86052,0.85366,,,,
318,0.00386,1.0,,,,
319,0.00969,1.0,,,,
320,0.13605,0.92308,,,,
321,1.25846,0.84615,,,,
322,1.5,0.77273,,,,
323,5e-05,1.0,,,,
324,0.0,1.0,,,,
325,0.81997,0.78261,,,,
326,0.00122,1.0,,,,
327,0.01429,1.0,,,,
328,1e-05,1.0,,,,
329,0.05907,0.97917,,,,
330,0.02894,1.0,,,,
331,0.4986,0.88571,,,,
332,0.6995,0.82979,,,,
333,0.17946,0.9697,,,,
334,0.00114,1.0,,,,
335,0.0,1.0,,,,
336,0.0,1.0,,,,
337,0.70715,0.75,,,,
338,0.0013,1.0,,,,
339,0.0,1.0,,,,
340,0.79641,0.90909,,,,
341,0.0,1.0,,,,
342,6e-05,1.0,,,,
343,0.69798,0.85366,,,,
344,0.12775,0.96,,,,
345,0.15405,0.94872,,,,
346,0.59483,0.95833,,,,
347,0.0,1.0,,,,
348,0.96983,0.88889,,,,
349,0.04154,1.0,,,,
350,0.00518,1.0,,,,
351,0.337,0.86957,,,,
352,0.88494,0.85,,,,
353,9e-05,1.0,,,,
354,0.4655,0.90698,,,,
355,0.0,1.0,,,,
356,0.00036,1.0,,,,
357,0.11422,0.95122,,,,
358,0.00265,1.0,,,,
359,0.57501,0.875,,,,
360,2e-05,1.0,,,,
361,0.56286,0.83333,,,,
362,0.25351,0.91667,,,,
363,0.0,1.0,,,,
364,0.0,1.0,,,,
365,0.18705,0.94118,,,,
366,0.97451,0.75,,,,
367,0.20788,0.91667,,,,
368,0.40546,0.85345,,,,
369,0.58192,0.86154,,,,
370,0.50454,0.86486,,,,
371,0.0,1.0,,,,
372,0.09509,0.92857,,,,
373,0.0119,1.0,,,,
374,0.285,0.9,,,,
375,0.43655,0.91667,,,,
376,0.0002,1.0,,,,
377,0.0,1.0,,,,
378,0.0,1.0,,,,
379,0.06448,0.96,,,,
380,0.07797,0.96364,,,,
381,1.06386,0.83333,,,,
382,0.24348,0.92063,,,,
383,0.51397,0.87179,,,,
384,0.17704,0.96296,,,,
385,0.0,1.0,,,,
386,0.17187,0.97143,,,,
387,0.42368,0.81633,,,,
388,0.0345,1.0,,,,
389,0.02065,1.0,,,,
390,0.27467,0.94231,,,,
